0,1,2
32.64117824295358,27.8131130654789,133.66785821375643
38.71955432754748,28.93390263694702,95.9362621005227
33.49271264209648,27.71586947357169,126.39728200574034
56.411726468193784,46.947591132411866,190.9610536905651
35.166005927630096,25.601423180247608,107.83509048511647
39.715000718325676,33.832425789841594,151.06497722103327
36.426883889261894,26.661611470524242,105.78769319441383
38.86789412219788,27.858585128286705,110.36936924564789
37.988887152618794,27.150599060097786,122.78979775550381
57.6180182918795,43.93086631095598,147.45839867507686
