0,1,2
32.64117824295357,27.8131130654789,133.66785821375643
38.71955432754746,28.93390263694702,95.93626210052268
33.49271264209647,27.71586947357169,126.39728200574037
56.411726468193784,46.94759113241188,190.96105369056514
35.1660059276301,25.601423180247608,107.83509048511647
39.71500071832569,33.832425789841594,151.06497722103327
36.426883889261894,26.661611470524242,105.78769319441386
38.867894122197875,27.8585851282867,110.36936924564786
37.9888871526188,27.15059906009778,122.78979775550383
57.6180182918795,43.93086631095598,147.4583986750769
